duration,actor1_fb_likes,actor2_fb_likes,actor3_fb_likes,budget,movie_fb_likes,actor4_fb_likes,director_fb_likes,cast_total_fb_likes,imdb
-0.1936,0.11736,-0.64839,0.28179,3.3131,-0.41274,-0.24729,-0.42456,-0.43874,1
0.33365,-0.52073,0.80677,-0.25432,2.672,3.4549,3.3803,-0.29206,1.5181,1
2.4427,-0.77331,1.3463,0.84342,2.5652,14.034,-0.077251,5.5378,0.65627,1
1.52,2.9489,3.6585,1.1242,2.4583,6.7581,7.0645,5.5378,3.8249,1
3.0139,-0.082046,0.34432,1.4816,2.8857,6.3818,-0.49187,1.7018,0.18583,1
-0.32541,2.1513,1.9243,1.4816,-0.14875,0.026293,0.54624,-0.35028,1.2256,1
2.3109,-0.082046,1.3463,-0.4537,2.2447,0.40261,-0.5511,5.2657,-0.037087,1
1.0367,3.6136,1.9243,1.1753,2.4583,1.0298,0.85798,-0.3092,4.0664,1
-0.1936,0.68898,-0.021779,-0.40749,2.2447,-0.099145,0.57458,-0.38592,0.24902,1
-0.67692,-0.44097,-0.15666,-0.54049,2.4583,-0.488,-0.24729,-0.37967,3.2054,0
-0.017849,4.4112,-0.1952,1.3029,2.672,0.6953,2.5301,-0.43843,3.3885,1
-0.89661,-0.72014,-0.079585,0.56261,2.4583,-0.50473,1.028,-0.43381,0.22503,1
0.42153,-0.49415,-0.15666,0.026501,2.4583,3.1622,0.26283,-0.12094,-0.20279,1
0.55334,0.11736,-0.48422,1.8646,2.3515,2.8696,0.20615,-0.38484,1.1534,1
-0.017849,-0.70684,-0.48422,0.12862,2.3515,-0.099145,-0.048911,-0.4066,-0.4225,1
3.1017,-0.028872,-0.079585,1.2519,2.031,-0.21622,-0.54005,0.15111,0.37708,1
1.3442,0.09077,0.67189,1.0732,2.2447,-0.22458,0.14947,0.15111,0.35786,1
-0.50117,0.42311,0.96092,0.25626,2.2447,-0.34166,-0.47232,-0.30268,0.22006,1
-0.41329,0.42311,-0.58057,-0.61989,2.2447,-0.099145,-0.43349,-0.3092,-0.49605,1
0.070027,4.4112,0.074564,-0.5382,2.2447,-0.23713,1.6232,3.0893,2.1148,1
-0.10572,-0.80176,-0.52276,-0.67426,2.2447,-0.14096,-0.31701,-0.26704,-0.52118,1
0.64122,2.1513,0.24798,2.8857,2.2447,0.068106,-0.048911,5.5378,2.2758,1
-1.0724,-0.44097,-0.48422,-0.30537,2.2447,-0.48382,-0.3462,-0.43789,-0.29411,1
-0.36935,-0.44097,1.0765,0.15414,2.2447,-0.47546,-0.16227,-0.39599,2.1064,0
0.24578,1.7525,-0.041048,-0.57853,2.2447,-0.23713,-0.48819,-0.40633,1.1732,1
-0.50117,-0.34792,-0.52276,-0.35643,2.2447,1.866,-0.30397,-0.42864,-0.36001,1
-0.061787,2.5501,3.0805,1.4561,2.672,2.0751,2.8135,-0.38484,2.9358,1
0.28972,2.683,0.96092,1.2519,2.2447,7.4271,-0.38106,-0.24337,1.1967,1
1.4321,1.0878,0.4214,-0.49812,2.2447,-0.27894,0.31951,0.096701,0.11574,1
0.070027,2.5501,3.0805,1.4561,2.2447,2.0751,2.8135,0.83125,2.8312,1
-0.76479,-0.29474,0.093832,-0.66303,2.2447,-0.38765,-0.57888,-0.43136,0.36498,1
-0.63298,-0.20169,1.9243,1.5327,2.2447,0.23536,-0.33317,-0.31873,0.6232,0
-0.017849,4.4112,0.1131,1.3029,1.1762,2.8696,1.113,3.0893,2.9707,1
0.77303,0.42311,1.1536,0.40943,2.2447,1.4061,-0.21895,-0.39626,0.25531,1
0.24578,-0.84111,-0.75071,0.74131,2.2447,-0.24967,0.43288,-0.34022,0.026222,0
-0.98448,-0.81931,-0.29154,-0.17773,2.2447,-0.47128,0.17781,-0.43163,-0.15873,1
-1.0284,-0.49415,1.3463,1.1498,2.2447,0.27717,2.2467,-0.42292,1.6488,1
-0.45723,-0.80575,-0.48422,-0.27984,2.2447,0.19354,0.46122,0.31434,-0.58322,0
0.46547,0.42311,3.4658,-0.27984,2.2447,-0.41692,-0.37624,3.3614,1.4596,1
0.77303,1.3537,-0.23373,0.81789,2.2447,0.82073,-0.16227,-0.23629,0.51295,1
-1.2481,1.7525,1.9243,0.89448,2.2233,-0.49636,0.5179,-0.43598,1.1776,1
-0.10572,1.7525,-0.74165,0.53708,2.2447,0.44442,0.99969,-0.32335,0.68116,0
3.629,-0.79405,-0.50349,-0.5262,2.7789,-0.18695,-0.56131,-0.37967,0.15259,1
-0.89661,-0.44097,-0.48422,-0.30537,2.1378,0.15173,-0.3462,-0.43789,0.18139,1
0.86091,-0.48085,-0.098853,-0.49199,2.0737,-0.46291,0.63126,-0.42211,0.016596,1
0.11396,-0.86344,-0.21446,-0.48841,2.1164,2.0333,-0.077251,-0.39953,-0.45816,0
1.7397,0.82191,-0.041048,0.99659,2.031,-0.099145,0.17781,0.15111,1.5794,1
-1.1163,0.11736,1.1536,-0.47744,2.031,-0.47546,-0.41195,-0.39626,0.19698,1
0.86091,0.42311,-0.15666,0.40943,2.1378,0.90436,2.2467,-0.26704,0.37572,1
-0.72086,-0.042165,-0.33008,0.81789,2.1378,0.48623,0.31951,-0.43326,0.671,1
1.7836,-0.62708,1.1536,-0.60738,2.031,-0.16604,-0.46126,-0.34403,-0.34919,1
1.6079,2.1513,-0.40715,-0.27984,2.031,1.5734,1.0847,1.5114,0.78799,1
0.59728,-0.042165,0.074564,2.3751,2.2447,0.23536,0.6596,3.3614,2.6636,1
0.33365,-0.53403,-0.041048,0.33285,2.0096,-0.35002,2.5301,-0.093737,1.2073,1
-0.50117,-0.3878,0.4214,3.9069,2.1378,1.3643,-0.37228,-0.37803,0.95204,1
0.33365,-0.44097,0.036026,0.026501,1.9241,-0.50055,-0.35499,-0.35028,-0.49074,0
4.4638,-0.52073,-0.6297,0.15414,1.8173,0.19354,0.03611,0.15111,-0.20994,1
0.59728,-0.21498,-0.44569,0.00097211,2.031,-0.50473,-0.35839,-0.31056,-0.32348,1
1.0806,-0.32133,0.44067,0.61366,1.9668,-0.43783,0.40454,0.25993,0.077314,0
0.37759,0.68898,-0.46496,-0.10114,1.8173,1.197,-0.32268,-0.39055,0.93476,0
0.46547,0.55604,-0.31081,0.66472,1.8173,-0.48382,0.092791,-0.43598,-0.035442,1
0.46547,0.55604,-0.38788,0.10309,2.031,1.3643,1.5948,-0.34022,1.3709,1
0.64122,-0.48085,-0.52276,0.23073,1.9241,-0.47546,-0.24729,-0.4066,-0.30431,1
0.070027,1.3537,3.2731,2.3751,1.6036,2.1587,0.23449,-0.3424,2.544,0
0.94878,0.25029,-0.253,0.12862,2.2447,-0.32911,-0.33742,-0.37803,-0.14495,1
1.8715,2.9489,4.4293,0.10309,1.9241,7.3853,-0.048911,0.74963,1.521,1
-0.28148,4.4112,-0.15666,0.2052,1.9241,0.52805,-0.45503,-0.29424,1.619,1
0.070027,0.82191,-0.15666,-0.30537,1.3899,-0.23713,-0.35329,-0.30567,-0.023265,1
-0.94055,-0.49415,0.61408,2.1199,1.8173,-0.30821,0.40454,-0.43272,1.1485,1
0.1579,-0.28145,-0.31081,0.40943,1.8173,1.9915,-0.077251,-0.38348,-0.00018762,1
1.4321,3.6136,0.63335,-0.62678,1.8173,2.8696,-0.57718,-0.3092,2.1358,1
0.070027,1.3537,3.2731,2.3751,1.6036,2.1587,0.23449,-0.3424,2.544,0
0.11396,0.42311,0.55628,-0.5433,1.86,-0.37093,-0.16227,3.3614,0.07501,1
1.476,-0.62708,1.1536,-0.46442,1.8173,-0.42946,-0.077251,0.15111,-0.056791,1
-1.0284,-0.14851,-0.0025106,1.2519,1.8173,0.10992,0.48956,-0.43381,0.17324,1
-0.5451,0.55604,-0.041048,0.2052,1.3899,0.40261,-0.57916,-0.39953,-0.14927,1
1.0806,0.064183,0.44067,-0.43302,1.7104,2.4096,2.8135,0.77684,1.2637,0
-0.28148,-0.56061,-0.041048,1.4306,1.9241,1.2807,-0.27563,3.3614,0.073899,1
1.2563,0.55604,-0.40715,-0.49148,1.8173,-0.099145,-0.39268,0.12391,0.4134,1
-0.58904,-0.18839,1.1536,-0.57087,1.8173,0.98798,-0.32013,0.31434,-0.18374,0
-0.67692,-0.44097,8.6683,0.15414,1.7532,-0.099145,-0.30397,-0.39599,2.2606,1
-0.80873,0.15724,1.3463,-0.17773,1.8173,-0.015519,0.5179,-0.42129,1.2212,1
2.0033,-0.73343,0.24798,-0.38196,1.7104,0.10992,-0.49584,0.72243,0.12577,1
-0.76479,0.68898,2.3097,1.1498,1.8173,0.27717,0.092791,-0.41367,0.9056,0
1.3003,4.4112,-0.21446,0.58813,2.031,-0.14096,1.5948,-0.29424,1.45,1
0.42153,3.6136,1.9243,1.1753,1.7104,1.6152,0.85798,-0.3092,4.0664,1
2.6624,1.0878,-0.11812,0.89448,1.7104,-0.29985,0.5179,0.096701,0.42261,1
0.90485,-0.42768,3.0805,0.89448,1.3899,-0.40856,0.40454,0.15111,1.1443,1
0.81697,0.95485,3.6585,0.33285,1.7104,1.6988,0.14947,-0.26214,1.9544,1
0.68516,1.8854,0.36359,0.35838,1.7104,1.0716,1.7365,0.31434,0.80913,1
-0.32541,-0.20169,1.9243,1.5327,1.7104,0.068106,-0.30397,-0.37803,1.1382,0
-0.017849,0.11736,-0.7139,-0.12667,0.42823,-0.19531,-0.41592,-0.2518,-0.44812,1
-0.50117,-0.14851,-0.7403,-0.6735,0.85563,-0.38347,-0.48195,-0.35953,-0.53961,1
0.94878,0.42311,-0.61409,-0.53462,1.7104,0.73711,1.8782,-0.39055,0.11277,1
0.50941,0.11736,1.038,-0.1522,1.7104,-0.31657,0.29117,-0.30023,0.056128,0
0.46547,-0.64037,2.117,0.00097211,1.7104,0.23536,-0.45616,-0.23629,-0.023882,1
0.42153,0.42311,-0.62026,-0.075614,1.7104,-0.45037,-0.13393,-0.28145,-0.16473,1
0.7291,0.34335,0.94165,0.026501,2.031,-0.40856,0.092791,-0.37967,0.43397,1
-0.94055,-0.64037,0.24798,2.1199,1.8173,-0.47964,0.29117,-0.40197,0.2825,0
0.42153,-0.81306,-0.72238,-0.59895,1.3899,-0.37093,-0.47345,-0.40388,-0.30513,0
0.42153,0.82191,0.71043,-0.25432,1.6036,0.73711,0.31951,-0.30567,0.18176,1
-0.28148,-0.25486,0.036026,-0.024557,1.6036,-0.51309,-0.30397,-0.34729,0.39131,0
0.46547,-0.36121,1.7317,1.6093,1.8173,3.4967,1.7082,1.5114,0.70604,1
-1.5996,-0.42768,-0.54203,0.63919,1.6036,-0.53989,-0.24729,-0.43381,-0.29826,0
-0.1936,0.82191,0.45993,-0.17773,1.4967,1.9915,-0.30397,-0.26731,0.32722,1
0.90485,0.95485,-0.66939,-0.075614,1.283,-0.36256,0.29117,-0.41395,0.26017,1
0.1579,-0.45426,1.1536,1.1498,1.1762,1.9497,-0.020571,-0.36742,0.58111,1
0.33365,-0.40109,0.13237,0.15414,1.6036,-0.3542,1.7082,-0.37287,0.0065176,0
0.1579,0.42311,0.17091,-0.25432,1.5395,-0.099145,-0.33883,-0.32607,0.50583,1
0.46547,0.42311,1.3463,0.12862,1.6036,2.4096,-0.24729,-0.34838,0.30731,1
1.1685,-0.082046,3.0805,0.33285,1.454,-0.14096,-0.30397,0.34155,1.3743,1
1.2563,-0.082046,3.0805,0.33285,1.4967,-0.23294,3.9471,0.34155,1.4914,1
-0.94055,-0.48085,-0.5613,-0.60738,1.4967,-0.21204,2.8135,0.015085,-0.13664,1
1.0806,1.7525,-0.58211,-0.45114,1.6036,2.2842,-0.19061,-0.32607,0.32586,1
0.99272,0.95485,0.4214,4.4175,1.4967,-0.015519,-0.40997,0.34155,0.87162,1
1.7397,0.68898,-0.54203,-0.075614,1.4967,-0.44201,-0.41252,-0.28145,0.17736,1
-0.5451,0.09077,-0.5613,0.76684,1.7104,2.0333,-0.24729,-0.31873,-0.055311,0
-0.98448,0.22371,1.038,0.00097211,1.1762,5.5874,-0.58398,0.12391,-0.18296,1
-0.23754,-0.48085,-0.50349,-0.52237,1.5181,-0.48382,-0.57038,-0.42592,-0.7801,0
-0.58904,-0.56061,-0.36861,0.28179,1.6036,1.1552,0.14947,-0.41259,-0.34446,0
-0.23754,-0.44097,-0.253,-0.1522,1.3899,-0.43365,0.99969,-0.39599,1.8738,1
0.026089,0.68898,-0.253,0.76684,1.3899,1.6152,-0.020571,-0.43054,0.4148,1
0.24578,-0.48085,-0.46496,-0.40749,1.3899,-0.47128,-0.27563,-0.43245,-0.49679,1
1.2563,-0.21498,1.7317,-0.53896,1.3899,-0.39183,0.092791,-0.23629,0.1818,1
0.55334,0.55604,1.3463,-0.050085,1.6036,-0.30403,-0.10559,-0.3881,0.52192,1
0.24578,0.95485,-0.23373,-0.43302,1.3899,0.56986,1.7082,-0.41367,0.61653,1
